timestamp,content,category
2024-08-29 23:07:48.120183,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 11:47:48.120183,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-29 21:47:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 00:19:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-29 20:46:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 03:41:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 04:48:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 08:27:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 04:47:48.121185,Patient reporting persistent Fever. Requires prompt attention.,Urgent
2024-08-29 23:54:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 11:20:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 03:32:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 12:08:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-29 22:47:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 00:38:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 03:43:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 02:15:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-29 20:12:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-29 21:31:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 02:08:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-29 22:03:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 04:19:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 03:25:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 11:34:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-29 23:17:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 10:34:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 02:54:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 11:31:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 11:17:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-29 22:33:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 09:00:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 06:40:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-29 20:32:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 10:04:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 04:35:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 09:33:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 10:43:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 04:35:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-29 23:03:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 07:56:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 00:05:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 09:00:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-29 20:46:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-30 07:44:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 07:22:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 00:38:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 03:01:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 05:44:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-29 22:58:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 04:44:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-29 19:56:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 09:32:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-29 20:09:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 09:30:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-29 22:38:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-29 23:02:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 05:09:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 09:19:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 04:34:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 00:12:48.121185,Question about Ibuprofen side effects.,Inquiry
2024-08-30 09:47:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 07:56:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-29 23:42:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 01:10:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 05:31:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 05:05:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-30 11:16:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 00:40:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 04:58:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 02:57:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 06:47:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 07:52:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 02:32:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 04:01:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 08:35:48.121185,Patient reporting persistent Fever. Requires prompt attention.,Urgent
2024-08-29 21:07:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 03:36:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 00:11:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 00:48:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 10:12:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 11:10:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 08:54:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 03:45:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-30 09:38:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 07:11:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 04:34:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 06:14:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 04:29:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 11:48:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 08:51:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 06:11:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 04:56:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 08:24:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-30 06:46:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 12:23:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 10:32:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 02:55:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-29 22:48:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-29 23:55:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 03:03:48.121185,Question about Ibuprofen side effects.,Inquiry
2024-08-30 12:14:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 08:41:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 07:17:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 08:29:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 08:13:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 07:43:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 07:48:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 12:24:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 07:42:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 06:37:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-29 21:39:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 00:29:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-29 21:57:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 09:02:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-29 23:58:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-30 01:32:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 08:57:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 04:40:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 03:47:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 04:27:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-30 01:54:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-30 00:15:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-29 22:20:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-29 20:47:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-30 07:23:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 01:58:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 03:58:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-29 22:15:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-29 20:49:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 07:13:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-30 06:04:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-29 20:35:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 06:38:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 11:01:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-30 08:00:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 01:01:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 04:58:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-30 06:49:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-29 22:08:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 08:20:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 11:39:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-29 22:44:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 05:04:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 06:11:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 11:08:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 08:15:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-29 22:28:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 06:41:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 12:07:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 11:37:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 00:11:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-30 10:45:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-30 12:32:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-30 04:24:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-29 21:52:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 10:25:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-30 11:57:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 10:05:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 01:44:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 02:45:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-29 21:12:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 06:18:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 05:05:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-29 23:16:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-30 09:03:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-30 07:12:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 06:20:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 00:11:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 05:52:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 10:17:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 12:24:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 12:31:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-29 22:29:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 01:50:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 06:24:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 07:34:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 06:24:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-29 21:43:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 00:55:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 07:06:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 09:28:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 01:34:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 07:45:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-29 21:28:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 06:10:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 03:14:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 03:20:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-30 07:30:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-29 22:10:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 11:59:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-29 22:29:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 05:10:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 07:31:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 06:00:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 06:55:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 05:32:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 00:52:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 10:26:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-30 00:54:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-29 20:44:48.121185,Question about Acetaminophen side effects.,Inquiry
